-0.08747601,-0.0027945407
-0.08455891,-0.031848926
-0.08012455,-0.057426255
0.080822915,0.056703974
-0.14330782,0.20133206
-0.08732911,-0.012142527
0.07911947,0.06584993
-0.086790085,-0.017677533
-0.07793473,-0.049170967
-0.079590015,-0.06938554
0.10696762,-0.07220638
0.084284596,0.040230844
0.08138681,0.068281636
-0.082402244,-0.05158748
-0.08879765,-0.0013385909
-0.07989835,-0.0699863
0.07659396,0.05334905
0.07975293,0.05314652
0.08387105,0.021777112
-0.081092045,-0.06436049
0.089540094,0.0026303371
0.08434928,0.034936313
-0.09114048,0.010012013
-0.08961222,0.0016494874
-0.07991625,-0.069532506
-0.08285593,-0.042328782
-0.17166857,0.06094212
-0.089637615,0.0014139779
-0.07994418,-0.048441418
-0.07412558,-0.04894356
-0.07571456,-0.051169764
0.0811278,0.067732
0.090123996,-0.00092075265
0.07927979,0.07646344
0.08256726,0.049090974
0.08174461,0.054572783
0.08299685,0.0471885
0.08454165,0.025419526
0.08248947,0.050712347
-0.08096651,-0.0634483
0.076993495,0.055952035
0.08836413,0.0058590285
-0.08197413,-0.051724743
0.07994617,0.0526606
-0.084108844,-0.035577472
0.105064735,-0.064570345
0.08991832,-0.0022335974
-0.08676023,-0.014643794
-0.08833008,-0.006244983
-0.08077217,-0.06029839
0.0675016,0.035207637
-0.08462944,-0.032482523
-0.08164605,-0.033899125
0.078815065,0.04342222
0.5635946,-0.007008507
-0.083894946,-0.03480048
-0.10162278,0.05284305
0.0813342,0.055348545
-0.08667627,-0.01903167
-0.094344124,0.024496136
0.57713926,-0.010291339
0.08067081,0.06757984
-0.59094286,0.01412133
0.08105346,0.05887862
